RGB_medio_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,RGB_std_cafe,R_std_cafe,G_std_cafe,B_std_cafe,RGB_medio_folha,RGB_std_folha,HSV_medio_cafe,H_medio_cafe,S_medio_cafe,V_medio_cafe,HSV_std_cafe,H_std_cafe,S_std_cafe,V_std_cafe,HSV_medio_folha,HSV_std_folha,Agtron
70.685,34.628,70.666,106.762,39.622,17.526,26.426,33.206,137.209,2.165,99.407,14.748,176.711,106.762,70.59,2.459,25.361,33.206,56.452,59.159,Agtron 75
38.854,30.364,37.36,48.838,27.203,22.964,25.844,29.168,202.251,4.191,58.278,13.671,112.317,48.845,52.98,20.89,46.198,29.17,79.359,89.536,Agtron 25
40.127,31.502,38.163,50.714,29.577,25.068,28.217,31.772,201.373,3.925,60.493,16.286,114.455,50.739,55.157,31.214,46.696,31.794,78.659,88.756,Agtron 25
34.577,32.571,34.174,36.985,35.659,33.295,35.769,37.64,200.735,3.91,54.531,63.538,61.851,38.205,51.486,58.527,51.99,37.721,78.465,88.472,Agtron 25
47.673,32.184,45.193,65.643,30.985,22.645,27.326,32.432,202.251,4.191,73.058,11.975,141.553,65.646,61.344,12.369,40.087,32.429,79.359,89.536,Agtron 35
49.681,32.444,47.428,69.172,30.426,21.11,26.131,31.09,201.373,3.925,76.217,12.532,146.947,69.174,62.658,11.932,39.51,31.088,78.659,88.756,Agtron 35
43.944,32.288,41.584,57.961,27.848,21.279,25.321,29.91,200.735,3.91,65.158,12.432,125.078,57.964,56.384,19.048,43.104,29.907,78.465,88.472,Agtron 35
52.365,31.428,49.949,75.717,34.977,21.003,29.527,36.981,202.251,4.191,81.713,12.519,156.9,75.719,66.85,11.778,37.734,36.978,79.359,89.536,Agtron 45
61.87,34.934,59.785,90.891,37.832,21.753,30.178,36.575,201.373,3.925,90.242,13.396,166.437,90.892,69.314,10.592,35.389,36.573,78.659,88.756,Agtron 45
49.201,31.328,46.569,69.705,31.986,20.671,27.403,33.829,200.735,3.91,76.983,12.098,149.145,69.706,64.132,12.997,39.437,33.827,78.465,88.472,Agtron 45
56.448,31.462,54.073,83.81,37.094,21.518,30.717,36.643,202.251,4.191,88.261,12.965,168.006,83.811,69.938,11.297,33.991,36.64,79.359,89.536,Agtron 55
62.033,32.962,60.239,92.899,37.653,20.149,28.604,35.042,201.373,3.925,93.127,13.678,172.803,92.9,70.941,9.889,33.344,35.04,78.659,88.756,Agtron 55
57.534,31.002,54.766,86.834,37.794,21.403,30.219,36.659,200.735,3.91,90.623,12.63,172.404,86.835,71.732,9.487,34.887,36.658,78.465,88.472,Agtron 55
60.087,33.227,59.403,87.63,36.665,22.347,29.925,34.021,202.251,4.191,89.869,14.466,167.508,87.632,68.945,9.402,36.001,34.02,79.359,89.536,Agtron 65
64.575,32.143,63.631,97.952,39.301,19.994,29.081,34.951,201.373,3.925,97.278,14.447,179.433,97.953,72.962,10.115,32.186,34.948,78.659,88.756,Agtron 65
60.726,29.842,59.944,92.392,36.356,17.592,26.12,31.882,200.735,3.91,95.312,14.497,179.045,92.393,71.84,8.998,28.897,31.879,78.465,88.472,Agtron 65
60.402,30.974,59.75,90.482,39.227,21.956,31.499,37.025,202.251,4.191,93.845,14.529,176.524,90.483,72.606,10.33,34.633,37.023,79.359,89.536,Agtron 75
75.991,36.467,76.379,115.128,44.383,21.706,31.845,36.474,201.373,3.925,104.051,15.317,181.708,115.128,74.045,9.684,31.573,36.472,78.659,88.756,Agtron 75
67.598,32.806,67.008,102.98,41.637,20.307,31.053,36.898,200.735,3.91,99.59,14.534,181.254,102.98,73.728,8.978,30.827,36.897,78.465,88.472,Agtron 75
