ID,Device,Height,Width,Num_sample,Lighting_condition,R_mean,G_mean,B_mean,Paper_R_mean,Paper_G_mean,Paper_B_mean,H_mean,S_mean,V_mean,Paper_H_mean,Paper_S_mean,Paper_V_mean,Agtron_value,File,Path
39,Motorola X4,820,820,1,Luz,18,20,28,172,171,172,112,103,28,106,2,172,25,25_1.png,.\photos\Motorola X4\Luz\Cafe\25_1.png
40,Motorola X4,820,820,1,Luz,18,24,40,172,171,172,112,149,40,106,2,172,35,35_1.png,.\photos\Motorola X4\Luz\Cafe\35_1.png
41,Motorola X4,820,820,1,Luz,19,29,51,172,171,172,111,167,51,106,2,172,45,45_1.png,.\photos\Motorola X4\Luz\Cafe\45_1.png
42,Motorola X4,820,820,1,Luz,20,34,59,172,171,172,110,179,59,106,2,172,55,55_1.png,.\photos\Motorola X4\Luz\Cafe\55_1.png
43,Motorola X4,820,820,1,Luz,25,44,72,172,171,172,108,179,72,106,2,172,65,65_1.png,.\photos\Motorola X4\Luz\Cafe\65_1.png
44,Motorola X4,820,820,1,Luz,22,42,72,172,171,172,108,188,72,106,2,172,75,75_1.png,.\photos\Motorola X4\Luz\Cafe\75_1.png
45,Motorola X4,820,820,1,Luz,26,51,79,172,171,172,106,182,79,106,2,172,85,85_1.png,.\photos\Motorola X4\Luz\Cafe\85_1.png
46,Motorola X4,820,820,1,Flash,12,16,25,168,171,172,110,139,25,95,6,172,25,25_1.png,.\photos\Motorola X4\Flash\Cafe\25_1.png
47,Motorola X4,820,820,1,Flash,13,22,39,168,171,172,110,180,39,95,6,172,35,35_1.png,.\photos\Motorola X4\Flash\Cafe\35_1.png
48,Motorola X4,820,820,1,Flash,15,29,53,168,171,172,110,192,53,95,6,172,45,45_1.png,.\photos\Motorola X4\Flash\Cafe\45_1.png
49,Motorola X4,820,820,1,Flash,19,36,68,168,171,172,110,194,68,95,6,172,55,55_1.png,.\photos\Motorola X4\Flash\Cafe\55_1.png
50,Motorola X4,820,820,1,Flash,24,49,79,168,171,172,107,192,79,95,6,172,65,65_1.png,.\photos\Motorola X4\Flash\Cafe\65_1.png
51,Motorola X4,820,820,1,Flash,20,46,80,168,171,172,107,200,80,95,6,172,75,75_1.png,.\photos\Motorola X4\Flash\Cafe\75_1.png
52,Motorola X4,820,820,1,Flash,21,52,83,168,171,172,105,198,83,95,6,172,85,85_1.png,.\photos\Motorola X4\Flash\Cafe\85_1.png
53,Redmi 5A,726,726,1,Luz,16,23,38,153,154,158,110,157,38,115,8,158,25,25_1.png,.\photos\Redmi 5A\Luz\Cafe\25_1.png
54,Redmi 5A,726,726,2,Luz,15,21,30,153,154,158,108,134,30,115,8,158,25,25_2.png,.\photos\Redmi 5A\Luz\Cafe\25_2.png
55,Redmi 5A,726,726,1,Luz,16,23,38,153,154,158,110,157,38,115,8,158,35,35_1.png,.\photos\Redmi 5A\Luz\Cafe\35_1.png
56,Redmi 5A,726,726,1,Luz,18,31,52,153,154,158,109,171,52,115,8,158,45,45_1.png,.\photos\Redmi 5A\Luz\Cafe\45_1.png
57,Redmi 5A,726,726,1,Luz,20,35,62,153,154,158,110,179,62,115,8,158,55,55_1.png,.\photos\Redmi 5A\Luz\Cafe\55_1.png
58,Redmi 5A,726,726,1,Luz,22,40,66,153,154,158,108,177,66,115,8,158,65,65_1.png,.\photos\Redmi 5A\Luz\Cafe\65_1.png
59,Redmi 5A,726,726,1,Luz,20,41,68,153,154,158,108,186,68,115,8,158,75,75_1.png,.\photos\Redmi 5A\Luz\Cafe\75_1.png
60,Redmi 5A,726,726,1,Luz,23,46,73,153,154,158,107,180,73,115,8,158,85,85_1.png,.\photos\Redmi 5A\Luz\Cafe\85_1.png
61,Redmi 5A,726,726,1,Flash,30,40,49,177,166,168,104,109,49,159,15,177,25,25_1.png,.\photos\Redmi 5A\Flash\Cafe\25_1.png
62,Redmi 5A,726,726,1,Flash,28,42,57,177,166,168,106,137,57,159,15,177,35,35_1.png,.\photos\Redmi 5A\Flash\Cafe\35_1.png
63,Redmi 5A,726,726,1,Flash,31,50,70,177,166,168,106,148,70,159,15,177,45,45_1.png,.\photos\Redmi 5A\Flash\Cafe\45_1.png
64,Redmi 5A,726,726,1,Flash,32,54,78,177,166,168,106,155,78,159,15,177,55,55_1.png,.\photos\Redmi 5A\Flash\Cafe\55_1.png
65,Redmi 5A,726,726,1,Flash,34,62,86,177,166,168,104,161,86,159,15,177,65,65_1.png,.\photos\Redmi 5A\Flash\Cafe\65_1.png
66,Redmi 5A,726,726,1,Flash,34,64,86,177,166,168,103,160,86,159,15,177,75,75_1.png,.\photos\Redmi 5A\Flash\Cafe\75_1.png
67,Xiaomi Mi9,820,820,1,Luz,31,37,47,196,200,201,106,101,47,95,6,201,25,25_1.png,.\photos\Xiaomi Mi9\Luz\Cafe\25_1.png
68,Xiaomi Mi9,774,954,2,Luz,32,37,48,200,203,204,106,100,48,95,5,204,25,25_2.png,.\photos\Xiaomi Mi9\Luz\Cafe\25_2.png
69,Xiaomi Mi9,774,954,3,Luz,36,37,39,201,205,205,71,66,41,91,6,205,25,25_3.png,.\photos\Xiaomi Mi9\Luz\Cafe\25_3.png
